cycle,phase,y_out
222,006f682b96d0,00577dfc59a223
223,006fcbf52997,0057cc5734a889
224,0070535277a6,005836a191d92a
225,007080797c00,00585a15e48dfc
226,007134e8d669,0058e7c4019196
227,0071aca81959,005945cae5aae3
228,007267d735cf,0059d8c57b0625
229,0072a8e4d851,005a0bda0f5a05
230,00733b83cd77,005a7efac8ca92
231,0073ec3758d8,005b09b9f86b2b
232,0074620e9ac4,005b6641668e3b
233,0074dbe6f2b7,005bc5edaed0d7
234,0075184d5a30,005bf55ac56284
235,0075dad6c7b5,005c8e1acbcf0b
236,007603878707,005cae0dff96fa
237,0076f4a1ade9,005d6b5df43209
238,007700f25f01,005d75096d939d
239,0077c0764280,005e0b69c23447
240,007862ecdac5,005e8afa48cd8a
241,0078d7b2e4af,005ee6aabb3ccc
242,007957fbb9af,005f4b64e8d63b
243,0079fc41aff8,005fcc6106e7d7
244,007a778576ef,00602d2a11c3f4
245,007acab47c95,00606e7a842788
246,007b304e4d60,0060be40e551dd
247,007b9420ea28,00610ca1d2b32d
248,007c14b43729,00617196268b53
249,007cbbbc5277,0061f4bc4d4cdc
250,007d40aaf581,00625d1c3941f9
251,007db437d568,0062b7d64348e3
252,007e557800aa,006336722a9eb4
253,007ef8dc48f1,0063b6bc56343c
254,007f472e958e,0063f43b20cf98
255,007f9e664d3c,006438b60aea33
256,008077ebb1ef,0064e38013236e
257,0080d7a23caf,00652ea67916de
258,00815cd20db9,006597390fccbd
259,008189c83513,0065ba8654b318
260,008228c62751,0066375ba816cc
261,0082cc981099,0066b7fb4e2a89
262,008338ea3a71,00670d07a6d011
263,0083f2356ae4,00679e834d1d40
264,00843eda447d,0067dab08953d8
265,0084f2c3a3e5,006867f237dc9e
266,008564a800c9,0068c15e1af9e9
267,0085d7c1d1af,00691bbce831d0
268,00866696e8cd,00698be190b5f2
269,00868326d406,0069a24e6caff9
270,00875e983dbd,006a4e994bc896
271,0087ee3d47dc,006abf6102519a
272,00883d86f47b,006afda1535aaf
273,0088bc3f8478,006b611f5cbfc6
274,00892e23ce5c,006bba8ac39257
275,0089bcb3ab79,006c2a7897e691
276,008a5dd146bb,006ca8f777b100
277,008ab9879473,006cf0f8c6da59
278,008b670f98ce,006d7936e997bc
279,008bacecdc59,006db010efd965
280,008c59b8c0b3,006e37bb33ce62
281,008cbaf4e275,006e8412565075
282,008d1cfc7a39,006ed1092c5156
283,008d8aecbe15,006f2759829b54
284,008e271c434e,006fa1f8e0cb1f
285,008edc7951b8,0070305c8fd6a7
286,008f46e7538d,007083eb79e3e7
287,008ff47331e8,00710c2bd17bf1
288,00907af6abf5,007175c70aca21
289,0090bd82bd7b,0071aa05ff2b20
290,009112a90325,0071ecdfb65b24
291,0091b87c1070,00726f0fbbf544
292,009214ded829,0072b797be82b5
293,0092987b0830,00731eeb1b982f
294,009328766950,00738ff4e9f1c0
295,0093a6bf3f4d,0073f319c72062
296,00947a87aff5,0074995e1ade7f
297,0094ca481294,0074d7fa95309d
298,00955e6065bc,00754c3eaf76c3
299,0095cf309c9e,0075a4cfd22c0d
300,009623400b46,0075e6ce27a426
301,0096c9cbbc93,0076698e36bf35
302,00975bd3dbb7,0076dc335152a5
303,0097b1800a63,00771f758b8dcf
304,00981372ce26,00776c5adf01c4
305,00988f63e41e,0077cda8365555
306,00992d19a55a,0078497810d78b
307,0099dc9967b9,0078d33ef54a42
308,009a6826d9d0,007940cd670c77
309,009aec6a6dd8,0079a8a2f5083b
310,009b46d6a78d,0079ef9f7d541f
311,009bfe2491fc,007a7f869a72db
312,009c527f0aa4,007ac1bf41cb7f
313,009cd2b533a5,007b26661a0c92
314,009d798bc0f3,007ba95fa8e58f
315,009de2056bc4,007bfb640e58e4
316,009e033a4506,007c15758b7da7
317,009e8c161918,007c80e5f2907d
318,009f5515d1aa,007d1eb0695a2e
319,009fe1dbd5c3,007d8d335a3ece
320,00a00633630c,007da9baecea71
321,00a0e1dafdc3,007e562a3a8990
322,00a17c2db9f8,007ecf4fedbb98
323,00a1c483ad89,007f0818e8dab8
324,00a20de14b1b,007f41b0d8d945
325,00a2b44dc168,007fc45617d41b
326,00a367e857cf,00805153f073a5
327,00a38d94d21b,00806ee6f8e7e4
328,00a42ed6d95d,0080ed7dcb3229
329,00a482344204,00812eeef9262f
330,00a51b368b36,0081a70be174aa
331,00a5bce32879,008225f6119414
332,00a60b42ec16,0082637c23d183
333,00a6e05065c0,00830abb187b59
334,00a74665378c,00835add3bd753
335,00a7fdfe8ffb,0083eafcf0c988
336,00a86e7068dc,008443418953f6
337,00a8e0e004c1,00849d1639c272
338,00a95a9d3bb5,0084fca675eeb3
339,00a9c7b2e28f,008552479fbdaa
340,00aa58462ab0,0085c3c4c304e3
341,00aaeb1d02d6,00863708bd1d25
342,00ab0d63751a,008651f077f581
343,00abeb8804d7,00870050c89383
344,00ac78c714f1,00876f30901e39
345,00ac82bd4305,008777025fbe78
346,00ad4c18c798,00881511729960
347,00ad9541d62a,00884e7f14650a
348,00ae1b920537,0088b7ed59c404
349,00aeff729efe,00896acd262c1d
350,00af1f7a0e3e,008983f157b4a9
351,00afba603874,0089fd88094b2b
352,00b00361dc06,008a36d68445db
353,00b0b46afc68,008ac1cd4ced51
354,00b17f202efe,008b60eaa062b3
355,00b1f99f09f3,008bc11183033c
356,00b2358d7c6b,008bf01c6a7275
357,00b287d0360f,008c30ae39decf
358,00b31500052a,008c9f80d26106
359,00b3ea7626d4,008d470e5e9706
360,00b43587c26b,008d81fad8a369
361,00b4fa4832f4,008e1c6a680085
362,00b570ea70e1,008e7988bd315d
363,00b5dc9974b9,008ece0eb036a7
364,00b6305f8e60,008f0fd02828f3
365,00b69e74cb3c,008f66381cdb52
366,00b72c0c5558,008fd55b5c29b9
367,00b78778d20e,00901d1dd812ec
368,00b8183fc330,00908ec0efc322
369,00b88073e500,0090e08b3e6475
370,00b97c6e91f8,0091a652cce007
371,00b9a9c01f53,0091c9e4deb9a0
372,00ba2fef3d5f,0092333707cfd8
373,00bafd5f5afa,0092d476582ed2
374,00bb38760270,009302d725006f
375,00bb98d73831,00934e7cecfba7
376,00bc0650df0c,0093a469f27da7
377,00bc8acd1315,00940c664f5652
378,00bd4a638d94,0094a2c60cb0a4
379,00bdc0620280,0094ff627aeccb
380,00be61e386c3,00957e259bd8c1
381,00beee4ee6dc,0095ec5bbf5f37
382,00bf13d40d27,009609ce8e4bfa
383,00bf91c05b23,00966ca3db7358
384,00c01c421738,0096d959765536
385,00c0e4f2bdc9,009776dd1bacb5
386,00c141406282,0097bf4f121bc1
387,00c1e38e22c7,00983eb1b14f41
388,00c26da36fdb,0098ab11baaffe
389,00c2bac26f75,0098e7990d2fd3
390,00c30d7d721a,0099288764787c
391,00c3c1233a82,0099b5865421b6
392,00c4285a6a50,009a068866a188
393,00c4d243e3a4,009a8be2fd2f44
394,00c5753c17ea,009b0bca8ccafa
395,00c5aa138054,009b3543540907
396,00c66455f0c8,009bc772084775
